이름,전화번호,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
강유진,010-5289-1327,53,housemaid,married,primary,no,2581,no,no,cellular,21,oct,828,1,189,1,failure,yes
윤서준,010-8024-5852,59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes
장채원,010-1727-1483,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes
임수아,010-2029-0607,32,management,married,tertiary,no,0,no,no,unknown,9,may,280,1,-1,0,unknown,no
권지후,010-3957-5143,30,services,married,tertiary,no,81,no,no,cellular,22,apr,145,1,-1,0,unknown,yes
임지호,010-1046-8631,34,blue-collar,married,primary,no,218,yes,yes,unknown,21,may,260,1,-1,0,unknown,no
안소율,010-4609-6973,55,management,single,tertiary,no,0,no,no,cellular,3,nov,222,3,187,3,failure,no
이수아,010-3126-7662,28,blue-collar,married,secondary,no,173,no,no,cellular,18,jul,588,7,-1,0,unknown,yes
안다은,010-7309-9372,37,admin.,married,secondary,yes,0,no,no,unknown,9,jun,89,1,-1,0,unknown,no
신서윤,010-6412-7095,27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,181,1,302,3,other,yes
강하은,010-2449-7534,35,management,single,tertiary,no,2306,no,no,cellular,18,aug,86,7,-1,0,unknown,no
류윤서,010-8365-3692,40,blue-collar,single,secondary,no,3,no,no,cellular,19,nov,998,1,-1,0,unknown,yes
정하은,010-5265-1650,46,management,married,tertiary,no,2817,no,no,cellular,17,sep,543,1,-1,0,unknown,yes
